term,non_invariant,random_non_invariant,h_nmi,h_mi,h_nmi_p,h_mi_p,type,run_number,computer
q3 ~1,1,0.46,1.65088190682856,-1.65088190682856,0.525492031865477,-0.525492031865477,Large Intercepts,1,computer12
q4 ~1,0.959,0.462,1.23908091821279,-1.23908091821279,0.394411706048821,-0.394411706048821,Large Intercepts,1,computer12
q5 ~1,1,0.46,1.65088190682856,-1.65088190682856,0.525492031865477,-0.525492031865477,Large Intercepts,1,computer12
lv ~~ lv,0.975,0.637,0.975686142565842,-0.975686142565843,0.310570544991235,-0.310570544991235,Small Residuals,1,computer12
q1 ~~ q1,0.977,0.643,0.976256542977202,-0.976256542977202,0.310752109081254,-0.310752109081254,Small Residuals,1,computer12
q2 ~~ q2,0.971,0.645,0.934313726832387,-0.934313726832388,0.297401296047971,-0.297401296047971,Small Residuals,1,computer12
q3 ~~ q3,0.977,0.652,0.957417826021044,-0.957417826021043,0.304755559231091,-0.304755559231091,Small Residuals,1,computer12
q4 ~~ q4,0.937,0.651,0.756584148518194,-0.756584148518193,0.240828214203286,-0.240828214203286,Small Residuals,1,computer12
q5 ~~ q5,0.979,0.649,0.97734791435841,-0.97734791435841,0.311099503381391,-0.311099503381391,Small Residuals,1,computer12
lv ~~ lv,1,0.643,1.28074646970548,-1.28074646970548,0.407674263002243,-0.407674263002243,Medium Residuals,1,computer12
q1 ~~ q1,1,0.645,1.27656948904591,-1.27656948904591,0.406344688763905,-0.406344688763905,Medium Residuals,1,computer12
q2 ~~ q2,1,0.64,1.28700221758657,-1.28700221758657,0.409665529398267,-0.409665529398267,Medium Residuals,1,computer12
q3 ~~ q3,1,0.643,1.28074646970548,-1.28074646970548,0.407674263002243,-0.407674263002243,Medium Residuals,1,computer12
q4 ~~ q4,0.889,0.655,0.576283106217553,-0.576283106217553,0.183436609949751,-0.183436609949751,Medium Residuals,1,computer12
q5 ~~ q5,1,0.643,1.28074646970548,-1.28074646970548,0.407674263002243,-0.407674263002243,Medium Residuals,1,computer12
lv ~1,0.969,0.623,0.968263497689027,-0.968263497689028,0.308207843745313,-0.308207843745314,Large Residuals,1,computer12
q1 ~1,0.969,0.623,0.968263497689027,-0.968263497689028,0.308207843745313,-0.308207843745314,Large Residuals,1,computer12
q2 ~1,0.967,0.636,0.92997898204853,-0.92997898204853,0.296021503929185,-0.296021503929185,Large Residuals,1,computer12
q3 ~1,0.938,0.622,0.82101688756943,-0.82101688756943,0.261337792037195,-0.261337792037195,Large Residuals,1,computer12
q4 ~1,0.962,0.627,0.921598506723636,-0.921598506723636,0.293353915782352,-0.293353915782352,Large Residuals,1,computer12
q5 ~1,0.967,0.629,0.944498218651237,-0.944498218651237,0.300643120479668,-0.300643120479668,Large Residuals,1,computer12
lv =~ q1,0.968,0.381,1.45139548709003,-1.45139548709003,0.461993532303294,-0.461993532303294,Invariant,1,computer13
lv =~ q2,0.926,0.371,1.28074518228033,-1.28074518228033,0.407673853202089,-0.407673853202089,Invariant,1,computer13
lv =~ q3,0.871,0.349,1.14283866458393,-1.14283866458393,0.363776845250147,-0.363776845250147,Invariant,1,computer13
lv =~ q4,0.967,0.373,1.462263419577,-1.462263419577,0.465452902656276,-0.465452902656275,Invariant,1,computer13
lv =~ q5,0.963,0.367,1.45291703670313,-1.45291703670313,0.462477856587463,-0.462477856587463,Invariant,1,computer13
lv =~ q1,0.83,0.705,0.298364698683334,-0.298364698683334,0.0949724332791531,-0.094972433279153,Small Loadings,1,computer13
lv =~ q2,0.839,0.708,0.315996153559999,-0.315996153559999,0.100584699674199,-0.100584699674199,Small Loadings,1,computer13
lv =~ q3,0.836,0.692,0.342781635217994,-0.342781635217994,0.109110783292133,-0.109110783292133,Small Loadings,1,computer13
lv =~ q4,0.813,0.686,0.295250491160514,-0.295250491160514,0.0939811502370114,-0.0939811502370115,Small Loadings,1,computer13
lv =~ q5,0.838,0.704,0.322058528997839,-0.322058528997839,0.102514413709821,-0.102514413709821,Small Loadings,1,computer13
lv =~ q1,1,0.73,1.09280112827594,-1.09280112827594,0.347849402763034,-0.347849402763034,Medium Loadings,1,computer13
lv =~ q2,1,0.737,1.07696832898816,-1.07696832898816,0.342809666223769,-0.342809666223769,Medium Loadings,1,computer13
lv =~ q3,1,0.75,1.0471975511966,-1.0471975511966,0.333333333333333,-0.333333333333333,Medium Loadings,1,computer13
lv =~ q4,0.864,0.744,0.305603243600501,-0.305603243600502,0.0972765336878728,-0.097276533687873,Medium Loadings,1,computer13
lv =~ q5,0.995,0.744,0.919459933313436,-0.919459933313437,0.292673186723555,-0.292673186723556,Medium Loadings,1,computer13
lv =~ q1,0.979,0.602,1.07450257037802,-1.07450257037802,0.342024790881219,-0.342024790881219,Large Loadings,1,computer13
lv =~ q2,0.974,0.606,1.03327092584344,-1.03327092584344,0.328900350802244,-0.328900350802245,Large Loadings,1,computer13
lv =~ q3,0.94,0.596,0.882662543036901,-0.882662543036902,0.280960213612771,-0.280960213612771,Large Loadings,1,computer13
lv =~ q4,0.83,0.606,0.507197735723594,-0.507197735723594,0.161446053530854,-0.161446053530854,Large Loadings,1,computer13
lv =~ q5,0.974,0.608,1.02917605958382,-1.02917605958382,0.327596914389209,-0.327596914389209,Large Loadings,1,computer13
lv ~1,0.905,0.447,1.0503516282544,-1.0503516282544,0.334337307242617,-0.334337307242617,Small Intercepts,1,computer13
q1 ~1,0.905,0.447,1.0503516282544,-1.0503516282544,0.334337307242617,-0.334337307242617,Small Intercepts,1,computer13
q2 ~1,0.915,0.448,1.08329608010965,-1.08329608010965,0.344823851963049,-0.344823851963049,Small Intercepts,1,computer13
q3 ~1,0.906,0.438,1.07189064985951,-1.07189064985951,0.341193390758251,-0.341193390758251,Small Intercepts,1,computer13
q4 ~1,0.869,0.437,0.956437497403554,-0.956437497403554,0.304443510940435,-0.304443510940435,Small Intercepts,1,computer13
q5 ~1,0.909,0.442,1.07418716912685,-1.07418716912685,0.341924395544856,-0.341924395544856,Small Intercepts,1,computer13
lv ~1,1,0.519,1.53278717551381,-1.53278717551381,0.487901311381776,-0.487901311381776,Medium Intercepts,1,computer13
q1 ~1,1,0.519,1.53278717551381,-1.53278717551381,0.487901311381776,-0.487901311381776,Medium Intercepts,1,computer13
q2 ~1,1,0.517,1.53678977271823,-1.53678977271823,0.489175377642352,-0.489175377642352,Medium Intercepts,1,computer13
q3 ~1,1,0.515,1.54079182497142,-1.54079182497142,0.490449270439568,-0.490449270439568,Medium Intercepts,1,computer13
q4 ~1,0.941,0.517,1.04608297299788,-1.04608297299788,0.332978552073757,-0.332978552073757,Medium Intercepts,1,computer13
q5 ~1,1,0.52,1.53078565244091,-1.53078565244091,0.487264206800245,-0.487264206800245,Medium Intercepts,1,computer13
lv ~1,0.999,0.75,0.983941452321457,-0.983941452321455,0.313198291699957,-0.313198291699956,Large Intercepts,1,computer13
q1 ~1,0.999,0.75,0.983941452321457,-0.983941452321455,0.313198291699957,-0.313198291699956,Large Intercepts,1,computer13
q2 ~1,0.998,0.759,0.936812616123669,-0.936812616123667,0.298196717213864,-0.298196717213864,Large Intercepts,1,computer13
q3 ~1,0.995,0.752,0.901033084316797,-0.901033084316798,0.286807738516709,-0.28680773851671,Large Intercepts,1,computer13
q4 ~1,0.943,0.751,0.562736502345093,-0.562736502345093,0.179124592012931,-0.179124592012931,Large Intercepts,1,computer13
q5 ~1,0.999,0.753,0.97699928105071,-0.976999281050707,0.310988529952897,-0.310988529952896,Large Intercepts,1,computer13
lv ~~ lv,0.963,0.508,1.1676752064633,-1.1676752064633,0.371682562068967,-0.371682562068967,Small Residuals,1,computer13
q1 ~~ q1,0.959,0.507,1.14900710735166,-1.14900710735166,0.365740321565475,-0.365740321565475,Small Residuals,1,computer13
q2 ~~ q2,0.966,0.513,1.17388921904983,-1.17388921904983,0.37366054370813,-0.37366054370813,Small Residuals,1,computer13
q3 ~~ q3,0.956,0.508,1.13213303924527,-1.13213303924527,0.360369138867071,-0.360369138867071,Small Residuals,1,computer13
q4 ~~ q4,0.932,0.487,1.06916377475491,-1.06916377475491,0.340325399454067,-0.340325399454067,Small Residuals,1,computer13
q5 ~~ q5,0.967,0.516,1.17344430091773,-1.17344430091773,0.373518921868141,-0.37351892186814,Small Residuals,1,computer13
lv ~~ lv,0.997,0.6,1.25983904817293,-1.25983904817293,0.40101922403382,-0.401019224033819,Medium Residuals,1,computer13
q1 ~~ q1,0.998,0.597,1.28608578577255,-1.28608578577255,0.409373820091851,-0.409373820091851,Medium Residuals,1,computer13
q2 ~~ q2,0.997,0.594,1.27207153022299,-1.27207153022299,0.404912944002919,-0.404912944002919,Medium Residuals,1,computer13
q3 ~~ q3,0.998,0.593,1.29423424193327,-1.29423424193326,0.411967554244943,-0.411967554244942,Medium Residuals,1,computer13
q4 ~~ q4,0.956,0.582,0.983389521792024,-0.983389521792025,0.313022606755952,-0.313022606755952,Medium Residuals,1,computer13
q5 ~~ q5,0.998,0.592,1.29626937166491,-1.29626937166491,0.412615356158192,-0.412615356158191,Medium Residuals,1,computer13
lv ~1,0.908,0.626,0.699710638239522,-0.699710638239522,0.22272481361961,-0.22272481361961,Large Residuals,1,computer13
q1 ~1,0.908,0.626,0.699710638239522,-0.699710638239522,0.22272481361961,-0.22272481361961,Large Residuals,1,computer13
q2 ~1,0.913,0.637,0.694424233118275,-0.694424233118276,0.221042098607144,-0.221042098607144,Large Residuals,1,computer13
q3 ~1,0.912,0.629,0.70748343664177,-0.70748343664177,0.225198972194359,-0.225198972194359,Large Residuals,1,computer13
q4 ~1,0.913,0.624,0.721358774968093,-0.721358774968093,0.229615629557772,-0.229615629557772,Large Residuals,1,computer13
q5 ~1,0.864,0.621,0.570973572210967,-0.570973572210967,0.181746532784425,-0.181746532784425,Large Residuals,1,computer13
lv =~ q1,0.873,0.549,0.743877657020029,-0.743877657020029,0.23678361234071,-0.23678361234071,Invariant,1,computer14
lv =~ q2,0.873,0.558,0.725773466871705,-0.725773466871704,0.231020869635148,-0.231020869635147,Invariant,1,computer14
lv =~ q3,0.832,0.551,0.623977944748927,-0.623977944748927,0.198618348574227,-0.198618348574227,Invariant,1,computer14
lv =~ q4,0.855,0.55,0.689330788184612,-0.689330788184612,0.219420804730027,-0.219420804730027,Invariant,1,computer14
lv =~ q5,0.852,0.559,0.662738538381437,-0.662738538381437,0.210956228721807,-0.210956228721807,Invariant,1,computer14
lv =~ q1,0.845,0.581,0.598771963359678,-0.598771963359679,0.190595035507064,-0.190595035507064,Small Loadings,1,computer14
lv =~ q2,0.841,0.567,0.616089527996371,-0.616089527996371,0.19610738753555,-0.19610738753555,Small Loadings,1,computer14
lv =~ q3,0.82,0.58,0.533807612674645,-0.533807612674646,0.169916240434507,-0.169916240434507,Small Loadings,1,computer14
lv =~ q4,0.854,0.583,0.619890170348164,-0.619890170348163,0.197317169569975,-0.197317169569974,Small Loadings,1,computer14
lv =~ q5,0.844,0.575,0.608161247632992,-0.608161247632992,0.19358373751545,-0.19358373751545,Small Loadings,1,computer14
lv =~ q1,0.975,0.25,1.77683467310167,-1.77683467310167,0.565584042562407,-0.565584042562407,Medium Loadings,1,computer14
lv =~ q2,0.978,0.249,1.79895948711061,-1.79895948711061,0.572626589591428,-0.572626589591428,Medium Loadings,1,computer14
lv =~ q3,0.965,0.245,1.72959763475277,-1.72959763475277,0.550548026261907,-0.550548026261907,Medium Loadings,1,computer14
lv =~ q4,0.904,0.247,1.4712905832181,-1.4712905832181,0.468326338087437,-0.468326338087437,Medium Loadings,1,computer14
lv =~ q5,0.935,0.245,1.59038711082441,-1.59038711082441,0.506235940234684,-0.506235940234685,Medium Loadings,1,computer14
lv =~ q1,0.948,0.549,1.01252054223723,-1.01252054223723,0.322295298558283,-0.322295298558283,Large Loadings,1,computer14
lv =~ q2,0.944,0.553,0.986777916442449,-0.986777916442449,0.314101166271474,-0.314101166271474,Large Loadings,1,computer14
lv =~ q3,0.953,0.549,1.03557874822129,-1.03557874822129,0.329634953480671,-0.329634953480671,Large Loadings,1,computer14
lv =~ q4,0.796,0.538,0.557464812762152,-0.557464812762152,0.177446561101789,-0.177446561101789,Large Loadings,1,computer14
lv =~ q5,0.934,0.554,0.942949292167574,-0.942949292167574,0.300150081866947,-0.300150081866946,Large Loadings,1,computer14
lv ~1,0.967,0.532,1.14140599337499,-1.14140599337499,0.363320811840689,-0.363320811840689,Small Intercepts,1,computer14
q1 ~1,0.967,0.532,1.14140599337499,-1.14140599337499,0.363320811840689,-0.363320811840689,Small Intercepts,1,computer14
q2 ~1,0.968,0.533,1.14504131704074,-1.14504131704074,0.364477971302975,-0.364477971302975,Small Intercepts,1,computer14
q3 ~1,0.964,0.522,1.14499426285508,-1.14499426285508,0.364462993490495,-0.364462993490495,Small Intercepts,1,computer14
q4 ~1,0.922,0.529,0.946665376853348,-0.946665376853348,0.301332948360325,-0.301332948360324,Small Intercepts,1,computer14
q5 ~1,0.967,0.538,1.12937641128173,-1.12937641128173,0.359491676933744,-0.359491676933744,Small Intercepts,1,computer14
lv ~1,1,0.724,1.10626929737573,-1.10626929737573,0.35213645413629,-0.35213645413629,Medium Intercepts,1,computer14
q1 ~1,1,0.724,1.10626929737573,-1.10626929737573,0.35213645413629,-0.35213645413629,Medium Intercepts,1,computer14
q2 ~1,1,0.736,1.07923831660736,-1.07923831660736,0.343532225724474,-0.343532225724474,Medium Intercepts,1,computer14
q3 ~1,1,0.726,1.10179015069147,-1.10179015069147,0.350710697465024,-0.350710697465024,Medium Intercepts,1,computer14
q4 ~1,0.922,0.738,0.508597182163191,-0.508597182163191,0.161891511167762,-0.161891511167762,Medium Intercepts,1,computer14
q5 ~1,1,0.734,1.0837700471305,-1.0837700471305,0.34497472035151,-0.34497472035151,Medium Intercepts,1,computer14
lv ~1,0.994,0.626,1.1609752549816,-1.1609752549816,0.369549901275391,-0.369549901275391,Large Intercepts,1,computer14
q1 ~1,0.994,0.626,1.1609752549816,-1.1609752549816,0.369549901275391,-0.369549901275391,Large Intercepts,1,computer14
q2 ~1,0.997,0.612,1.23528012738778,-1.23528012738778,0.393201876753902,-0.393201876753902,Large Intercepts,1,computer14
q3 ~1,0.997,0.618,1.22294946121933,-1.22294946121933,0.389276903809252,-0.389276903809252,Large Intercepts,1,computer14
q4 ~1,0.939,0.611,0.847802549601287,-0.847802549601286,0.269863933069913,-0.269863933069913,Large Intercepts,1,computer14
q5 ~1,0.997,0.625,1.20851671382118,-1.20851671382118,0.384682817627628,-0.384682817627628,Large Intercepts,1,computer14
lv ~~ lv,0.954,0.452,1.23463355321765,-1.23463355321765,0.392996065803401,-0.392996065803401,Small Residuals,1,computer14
q1 ~~ q1,0.958,0.452,1.25414159832395,-1.25414159832395,0.399205669420853,-0.399205669420853,Small Residuals,1,computer14
q2 ~~ q2,0.96,0.434,1.30046685035921,-1.30046685035921,0.413951455123634,-0.413951455123634,Small Residuals,1,computer14
q3 ~~ q3,0.959,0.459,1.24509973856489,-1.24509973856489,0.396327556070057,-0.396327556070057,Small Residuals,1,computer14
q4 ~~ q4,0.941,0.456,1.16820350337427,-1.16820350337427,0.37185072419857,-0.37185072419857,Small Residuals,1,computer14
q5 ~~ q5,0.962,0.452,1.27456023243684,-1.27456023243684,0.405705122521356,-0.405705122521356,Small Residuals,1,computer14
lv ~~ lv,1,0.44,1.69108620918968,-1.69108620918968,0.538289458774147,-0.538289458774147,Medium Residuals,1,computer14
q1 ~~ q1,1,0.43,1.71125774150475,-1.71125774150475,0.544710256929508,-0.544710256929509,Medium Residuals,1,computer14
q2 ~~ q2,1,0.421,1.72946120869952,-1.72946120869952,0.550504600500425,-0.550504600500424,Medium Residuals,1,computer14
q3 ~~ q3,1,0.423,1.72541162695586,-1.72541162695586,0.549215578596508,-0.549215578596508,Medium Residuals,1,computer14
q4 ~~ q4,0.801,0.427,0.792527188326889,-0.792527188326889,0.252269239113892,-0.252269239113892,Medium Residuals,1,computer14
q5 ~~ q5,1,0.434,1.70318269193988,-1.70318269193988,0.542139888821584,-0.542139888821584,Medium Residuals,1,computer14
lv ~1,0.866,0.621,0.576826292905619,-0.576826292905619,0.183609511642606,-0.183609511642606,Large Residuals,1,computer14
q1 ~1,0.866,0.621,0.576826292905619,-0.576826292905619,0.183609511642606,-0.183609511642606,Large Residuals,1,computer14
