term,non_invariant,random_non_invariant,h_nmi,h_mi,h_nmi_p,h_mi_p,type,run_number,computer
lv =~ q1,0.869,0.763,0.276211210355106,-0.276211210355105,0.0879207589308208,-0.0879207589308207,Invariant,1,computer11
lv =~ q2,0.86,0.77,0.233365209533108,-0.233365209533108,0.07428245328574,-0.0742824532857401,Invariant,1,computer11
lv =~ q3,0.861,0.768,0.240996766018058,-0.240996766018058,0.0767116531618698,-0.0767116531618698,Invariant,1,computer11
lv =~ q4,0.857,0.776,0.210433921365668,-0.210433921365667,0.0669831975591145,-0.0669831975591143,Invariant,1,computer11
lv =~ q5,0.821,0.756,0.159592485183284,-0.159592485183284,0.0507998657944795,-0.0507998657944794,Invariant,1,computer11
lv =~ q1,0.968,0.556,1.09885384083286,-1.09885384083286,0.349776041008129,-0.349776041008129,Small Loadings,1,computer11
lv =~ q2,0.935,0.555,0.944979270561059,-0.944979270561059,0.300796244058332,-0.300796244058332,Small Loadings,1,computer11
lv =~ q3,0.947,0.55,1.00602697909438,-1.00602697909438,0.320228333213356,-0.320228333213356,Small Loadings,1,computer11
lv =~ q4,0.898,0.546,0.828527593917963,-0.828527593917963,0.263728524120157,-0.263728524120157,Small Loadings,1,computer11
lv =~ q5,0.962,0.562,1.05409217180949,-1.05409217180949,0.335527959235904,-0.335527959235903,Small Loadings,1,computer11
lv =~ q1,0.976,0.427,1.40622845376648,-1.40622845376648,0.447616419066816,-0.447616419066816,Medium Loadings,1,computer11
lv =~ q2,0.878,0.419,1.01989758079009,-1.01989758079009,0.324643482860416,-0.324643482860416,Medium Loadings,1,computer11
lv =~ q3,0.972,0.418,1.39929473840103,-1.39929473840103,0.445409348918009,-0.445409348918009,Medium Loadings,1,computer11
lv =~ q4,0.831,0.419,0.886201148164253,-0.886201148164253,0.282086586608108,-0.282086586608108,Medium Loadings,1,computer11
lv =~ q5,0.978,0.421,1.43171464862424,-1.43171464862424,0.455728926851249,-0.455728926851249,Medium Loadings,1,computer11
lv =~ q1,0.964,0.241,1.73351962303814,-1.73351962303814,0.551796433906639,-0.551796433906639,Large Loadings,1,computer11
lv =~ q2,0.951,0.232,1.69007161913811,-1.69007161913811,0.537966504730307,-0.537966504730307,Large Loadings,1,computer11
lv =~ q3,0.965,0.241,1.7389239949439,-1.7389239949439,0.553516698912856,-0.553516698912857,Large Loadings,1,computer11
lv =~ q4,0.85,0.245,1.31058228688635,-1.31058228688635,0.417171298573287,-0.417171298573287,Large Loadings,1,computer11
lv =~ q5,0.965,0.246,1.72727412323367,-1.72727412323367,0.549808429574715,-0.549808429574715,Large Loadings,1,computer11
lv ~1,0.941,0.714,0.637810843735202,-0.637810843735202,0.20302149707614,-0.203021497076139,Small Intercepts,1,computer11
q1 ~1,0.941,0.714,0.637810843735202,-0.637810843735202,0.20302149707614,-0.203021497076139,Small Intercepts,1,computer11
q2 ~1,0.944,0.721,0.635150360731641,-0.635150360731641,0.202174639034082,-0.202174639034082,Small Intercepts,1,computer11
q3 ~1,0.937,0.731,0.583125091266226,-0.583125091266226,0.185614481431865,-0.185614481431865,Small Intercepts,1,computer11
q4 ~1,0.897,0.706,0.492712925970186,-0.492712925970187,0.156835395386853,-0.156835395386853,Small Intercepts,1,computer11
q5 ~1,0.944,0.711,0.657327184482777,-0.657327184482777,0.209233741278224,-0.209233741278224,Small Intercepts,1,computer11
lv ~1,1,0.691,1.17883687372714,-1.17883687372714,0.375235431105343,-0.375235431105343,Medium Intercepts,1,computer11
q1 ~1,1,0.691,1.17883687372714,-1.17883687372714,0.375235431105343,-0.375235431105343,Medium Intercepts,1,computer11
q2 ~1,1,0.679,1.20467128139014,-1.20467128139014,0.383458778468177,-0.383458778468177,Medium Intercepts,1,computer11
q3 ~1,1,0.697,1.16581673832767,-1.16581673832767,0.371090993288239,-0.371090993288239,Medium Intercepts,1,computer11
q4 ~1,0.917,0.682,0.613759003666855,-0.613759003666855,0.195365558601473,-0.195365558601473,Medium Intercepts,1,computer11
q5 ~1,1,0.694,1.17233572697073,-1.17233572697073,0.373166051821245,-0.373166051821245,Medium Intercepts,1,computer11
lv ~1,1,0.264,2.06235433698244,-2.06235433698244,0.656467774275526,-0.656467774275526,Large Intercepts,1,computer11
q1 ~1,1,0.264,2.06235433698244,-2.06235433698244,0.656467774275526,-0.656467774275526,Large Intercepts,1,computer11
q2 ~1,1,0.266,2.0578226064593,-2.0578226064593,0.65502527964849,-0.65502527964849,Large Intercepts,1,computer11
q3 ~1,1,0.266,2.0578226064593,-2.0578226064593,0.65502527964849,-0.65502527964849,Large Intercepts,1,computer11
q4 ~1,0.967,0.261,1.70382609158557,-1.70382609158556,0.542344689289574,-0.542344689289574,Large Intercepts,1,computer11
q5 ~1,1,0.25,2.0943951023932,-2.0943951023932,0.666666666666667,-0.666666666666667,Large Intercepts,1,computer11
lv ~~ lv,0.995,0.42,1.58994750642238,-1.58994750642238,0.506096009807509,-0.50609600980751,Small Residuals,1,computer11
q1 ~~ q1,0.996,0.416,1.61302122184958,-1.61302122184958,0.513440601538979,-0.513440601538979,Small Residuals,1,computer11
q2 ~~ q2,0.991,0.424,1.5333653749519,-1.5333653749519,0.488085357979104,-0.488085357979104,Small Residuals,1,computer11
q3 ~~ q3,0.994,0.419,1.57843874321851,-1.57843874321851,0.50243265670197,-0.502432656701971,Small Residuals,1,computer11
q4 ~~ q4,0.973,0.412,1.41758721262835,-1.41758721262835,0.451232024307327,-0.451232024307327,Small Residuals,1,computer11
q5 ~~ q5,0.993,0.426,1.55181417806607,-1.55181417806607,0.493957794398604,-0.493957794398604,Small Residuals,1,computer11
lv ~~ lv,1,0.545,1.4806743817803,-1.4806743817803,0.471313293939742,-0.471313293939742,Medium Residuals,1,computer11
q1 ~~ q1,1,0.55,1.47062890563334,-1.47062890563334,0.46811571957074,-0.46811571957074,Medium Residuals,1,computer11
q2 ~~ q2,1,0.557,1.45654794746336,-1.45654794746336,0.463633611378296,-0.463633611378297,Medium Residuals,1,computer11
q3 ~~ q3,1,0.542,1.48669722781221,-1.48669722781221,0.473230425374663,-0.473230425374663,Medium Residuals,1,computer11
q4 ~~ q4,0.909,0.547,0.863786447796328,-0.863786447796328,0.27495176588515,-0.27495176588515,Medium Residuals,1,computer11
q5 ~~ q5,1,0.538,1.49472297330744,-1.49472297330744,0.475785099509789,-0.475785099509789,Medium Residuals,1,computer11
lv ~1,0.791,0.422,0.777825753119726,-0.777825753119726,0.247589626946361,-0.247589626946361,Large Residuals,1,computer11
q1 ~1,0.791,0.422,0.777825753119726,-0.777825753119726,0.247589626946361,-0.247589626946361,Large Residuals,1,computer11
q2 ~1,0.74,0.413,0.675544898624061,-0.675544898624061,0.215032619793065,-0.215032619793065,Large Residuals,1,computer11
q3 ~1,0.774,0.424,0.732562855198535,-0.732562855198535,0.233181999060718,-0.233181999060718,Large Residuals,1,computer11
q4 ~1,0.799,0.421,0.799668327470418,-0.799668327470418,0.254542334301891,-0.254542334301891,Large Residuals,1,computer11
q5 ~1,0.79,0.416,0.787529171689658,-0.787529171689658,0.25067832100695,-0.25067832100695,Large Residuals,1,computer11
lv =~ q1,0.873,0.746,0.327649659626458,-0.327649659626458,0.104294125863856,-0.104294125863856,Invariant,1,computer12
lv =~ q2,0.863,0.747,0.29580309531807,-0.295803095318069,0.0941570496035077,-0.0941570496035077,Invariant,1,computer12
lv =~ q3,0.883,0.752,0.344371718472663,-0.344371718472664,0.10961692251195,-0.10961692251195,Invariant,1,computer12
lv =~ q4,0.846,0.746,0.249870319031289,-0.249870319031288,0.0795361928115569,-0.0795361928115569,Invariant,1,computer12
lv =~ q5,0.873,0.743,0.334528181376006,-0.334528181376006,0.106483627339067,-0.106483627339067,Invariant,1,computer12
lv =~ q1,0.74,0.598,0.303377586219494,-0.303377586219494,0.0965680849402402,-0.0965680849402402,Small Loadings,1,computer12
lv =~ q2,0.685,0.603,0.171523505047451,-0.171523505047451,0.0545976273694991,-0.0545976273694991,Small Loadings,1,computer12
lv =~ q3,0.686,0.582,0.216418524770229,-0.216418524770228,0.0688881559876754,-0.0688881559876753,Small Loadings,1,computer12
lv =~ q4,0.746,0.597,0.31914756375072,-0.31914756375072,0.101587824693326,-0.101587824693326,Small Loadings,1,computer12
lv =~ q5,0.734,0.602,0.281584162154264,-0.281584162154265,0.0896310226064819,-0.089631022606482,Small Loadings,1,computer12
lv =~ q1,1,0.372,1.82967836046063,-1.82967836046063,0.582404710671168,-0.582404710671168,Medium Loadings,1,computer12
lv =~ q2,1,0.367,1.8400374742894,-1.8400374742894,0.58570211901497,-0.58570211901497,Medium Loadings,1,computer12
lv =~ q3,1,0.37,1.83381852970337,-1.83381852970337,0.583722567471605,-0.583722567471605,Medium Loadings,1,computer12
lv =~ q4,0.915,0.353,1.27751679639313,-1.27751679639313,0.406646226057778,-0.406646226057778,Medium Loadings,1,computer12
lv =~ q5,1,0.365,1.84418935826237,-1.84418935826237,0.587023704729853,-0.587023704729853,Medium Loadings,1,computer12
lv =~ q1,1,0.678,1.2068123703133,-1.2068123703133,0.384140308239618,-0.384140308239618,Large Loadings,1,computer12
lv =~ q2,1,0.67,1.22387942926773,-1.22387942926773,0.389572921832895,-0.389572921832895,Large Loadings,1,computer12
lv =~ q3,1,0.678,1.2068123703133,-1.2068123703133,0.384140308239618,-0.384140308239618,Large Loadings,1,computer12
lv =~ q4,0.935,0.663,0.723132997957588,-0.723132997957588,0.230180382275623,-0.230180382275623,Large Loadings,1,computer12
lv =~ q5,1,0.68,1.20252843335826,-1.20252843335826,0.382776688755039,-0.382776688755039,Large Loadings,1,computer12
lv ~1,0.936,0.528,1.00324401238534,-1.00324401238534,0.319342487396946,-0.319342487396946,Small Intercepts,1,computer12
q1 ~1,0.936,0.528,1.00324401238534,-1.00324401238534,0.319342487396946,-0.319342487396946,Small Intercepts,1,computer12
q2 ~1,0.936,0.537,0.985205618797491,-0.985205618797492,0.313600688387061,-0.313600688387061,Small Intercepts,1,computer12
q3 ~1,0.937,0.534,0.995321550698749,-0.995321550698748,0.316820689519193,-0.316820689519193,Small Intercepts,1,computer12
q4 ~1,0.751,0.538,0.44983636690353,-0.44983636690353,0.143187362750393,-0.143187362750393,Small Intercepts,1,computer12
q5 ~1,0.942,0.524,1.0363321170226,-1.0363321170226,0.329874758218069,-0.329874758218069,Small Intercepts,1,computer12
lv ~1,1,0.342,1.89230680433312,-1.89230680433312,0.602339963512088,-0.602339963512088,Medium Intercepts,1,computer12
q1 ~1,1,0.342,1.89230680433312,-1.89230680433312,0.602339963512088,-0.602339963512088,Medium Intercepts,1,computer12
q2 ~1,1,0.324,1.93050332637985,-1.93050332637985,0.6144982940974,-0.6144982940974,Medium Intercepts,1,computer12
q3 ~1,1,0.344,1.88809371490704,-1.88809371490704,0.600998895496389,-0.600998895496389,Medium Intercepts,1,computer12
q4 ~1,0.931,0.329,1.38824643624186,-1.38824643624186,0.441892565115199,-0.441892565115199,Medium Intercepts,1,computer12
q5 ~1,1,0.345,1.88598935923562,-1.88598935923562,0.600329058282131,-0.600329058282131,Medium Intercepts,1,computer12
lv ~1,1,0.463,1.64486403109822,-1.64486403109822,0.523576482526687,-0.523576482526687,Large Intercepts,1,computer12
q1 ~1,1,0.463,1.64486403109822,-1.64486403109822,0.523576482526687,-0.523576482526687,Large Intercepts,1,computer12
q2 ~1,1,0.462,1.64686968028235,-1.64686968028235,0.524214900490211,-0.524214900490211,Large Intercepts,1,computer12
